"Date","Site.Name","COUNTY","latitude_mean","longitude_mean","Month","Year","AQI_PM2.5","AQI_Ozone"
2020-01-05,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,16.6666666666667,NA
2020-01-05,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,20,34
2020-01-06,"Bryson City","Swain",35.434767,-83.442133,1,2020,33,NA
2020-01-06,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,13,NA
2020-01-06,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,25,NA
2020-01-06,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,29.3333333333333,NA
2020-01-06,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,40
2020-01-06,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,32.25,30.5
2020-01-06,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,15.6666666666667,NA
2020-01-06,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,7,NA
2020-01-06,"Linville Falls","Avery",35.972347,-81.933072,1,2020,4,NA
2020-01-06,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,18,NA
2020-01-06,"Millbrook School","Wake",35.856111,-78.574167,1,2020,27.75,32
2020-01-06,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,15.6666666666667,NA
2020-01-06,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,28.5,33
2020-01-07,"Bryson City","Swain",35.434767,-83.442133,1,2020,45,NA
2020-01-07,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,11,NA
2020-01-07,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,40.5,NA
2020-01-07,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,41,NA
2020-01-07,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,37
2020-01-07,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,39,29
2020-01-07,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,26,NA
2020-01-07,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,12.5,NA
2020-01-07,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,30,NA
2020-01-07,"Millbrook School","Wake",35.856111,-78.574167,1,2020,42,31.5
2020-01-07,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,17,NA
2020-01-07,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,25,30
2020-01-08,"Bryson City","Swain",35.434767,-83.442133,1,2020,52,NA
2020-01-08,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,9.5,NA
2020-01-08,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,51.5,NA
2020-01-08,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,37.3333333333333,NA
2020-01-08,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,3,42
2020-01-08,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,42,24
2020-01-08,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,41.25,NA
2020-01-08,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,30.5,NA
2020-01-08,"Linville Falls","Avery",35.972347,-81.933072,1,2020,22,NA
2020-01-08,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,37.5,NA
2020-01-08,"Millbrook School","Wake",35.856111,-78.574167,1,2020,44.5,30
2020-01-08,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,28.6666666666667,NA
